X,p,q,ordered_offdiag_pairs,actual_rho,null_mean,null_sd,z,fully_visible
262144,11,149,6022,-0.0269013616739,-0.0255767916749,0.00222617533298,-0.594998057575,1
262144,11,151,5780,-0.0221453287197,-0.02240354053,0.00145698804479,0.177223012362,1
262144,13,101,9614,-0.00104014978157,-0.00369258154186,0.00153041115867,1.73314977826,1
262144,13,103,9176,-0.00348735832607,-0.0052964176726,0.00481726769158,0.375536395807,1
262144,13,107,8498,-0.00729583431396,-0.0121609501941,0.00577803540657,0.842001742422,1
262144,13,109,8058,-0.0111690245719,-0.0163762575111,0.00498183015009,1.04524497673,1
262144,13,113,7512,-0.0111821086262,-0.0212723228175,0.00297012017737,3.39724105045,1
262144,13,127,5990,-0.0196994991653,-0.0204512608971,0.000932241616301,0.80640224455,1
262144,13,131,5474,-0.0215564486664,-0.0210179251139,0.00232865654688,-0.231259329854,1
262144,13,137,5144,-0.0233281493002,-0.0203160990579,0.00293427674966,-1.02650516608,1
262144,13,139,5038,-0.0202461294164,-0.0186344818416,0.00401114968141,-0.401791930711,1
262144,17,101,5704,-0.0161290322581,-0.0166976900672,0.000985150471957,0.577229393181,1
262144,17,103,5534,-0.0169859053126,-0.0150926040356,0.00236361662243,-0.801018768893,1
262144,17,107,5126,-0.013655872025,-0.0136089807456,0.00455522095151,-0.0102939637481,1
262144,17,109,4888,-0.00818330605565,-0.0144585562757,0.00548917097144,1.14320545903,1
262144,17,113,4394,-0.0168411470187,-0.0181682240552,0.00170868540933,0.776665516811,1
262144,19,101,4394,-0.0168411470187,-0.01559004108,0.00155656286589,-0.80376190778,1
262144,19,103,4296,-0.0130353817505,-0.0139055804931,0.0018539659326,0.46937148485,1
262144,19,107,3968,-0.0191532258065,-0.015745851283,0.00511895837879,-0.665638255162,1
262144,19,109,3826,-0.0203868269733,-0.0132009418292,0.00749882557041,-0.958268075005,1
262144,19,113,3724,-0.0182599355532,-0.00484092764332,0.00605158582922,-2.21743660068,1
262144,23,101,3306,-0.00786448880823,-0.0132031736843,0.0062451426558,0.854853951349,1
262144,23,103,3212,-0.00373599003736,-0.0192409462073,0.00924838158727,1.67650480504,1
